id,text,timestamp,source,symbols,company_names,url,verified
1.02E+18,https://t.co/NVFViyyGIG $XLNX Xilinx notable market movement up 1.4% = $238.3 million gain. At $17 billion marketCa… https://t.co/5reUKumFHw,Thu Jul 12 15:01:08 +0000 2018,42Stocks,XLNX,Xilinx,http://42stocks.com/sym/xlnx.html,FALSE
1.02E+18,EQT Option Alert: Jul 20 $55 Calls at the Ask: 500 @ $1.2 vs 4524 OI; Earnings 7/26 Before Open [est] Ref=$55.21 $EQT,Thu Jul 12 15:02:31 +0000 2018,twj_optionsflow,EQT,EQT Corporation,,FALSE
1.02E+18,See the latest #broker #ratings changes https://t.co/OCPRWKxQMU $RFP $PDS $NBR $JNJ $EDR $NFLX $SM $AVGO $UNTY… https://t.co/cYryI4IQWP,Thu Jul 12 15:03:00 +0000 2018,Briefingcom,HUM,Humana Inc.,http://bit.ly/1eLLpAY,FALSE
1.02E+18,RT @Drugdoctor2014: $PNTV - USA's Largest PUBLIC MARIJUANA Farms - NEWS OUT!  Investor Presentation VIDEO! $DOV $DST $ATVI $EA $MU $PYPL $S…,Thu Jul 12 15:03:38 +0000 2018,OTCNetwork101,VIAB,Viacom,,FALSE
1.02E+18,RT @Drugdoctor2014: $PNTV - USA's Largest PUBLIC MARIJUANA Farms - NEWS OUT!  Investor Presentation VIDEO! $AMZN $TSLA $WMT $TGT $NVDA $SPY…,Thu Jul 12 15:03:49 +0000 2018,OTCNetwork101,ADSK,Autodesk,,FALSE
1.02E+18,ONEOK $OKE Given New $73.00 Price Target at Barclays https://t.co/RynZdTEvcL,Thu Jul 12 15:04:29 +0000 2018,ThisLincolnian,OKE,ONEOK,http://thelincolnianonline.com/?p=2179163,FALSE
1.02E+18,Murphy Oil $MUR Given New $36.00 Price Target at Barclays https://t.co/l43R5Nmjex,Thu Jul 12 15:07:16 +0000 2018,ledgerzette,MUR,Murphy Oil Corporation,http://ledgergazette.com/?p=2821895,FALSE
1.02E+18,Contrasting Robert Half International $RHI &amp; Kelly Services Inc. Class A $KELYA https://t.co/w0jih6lIhG,Thu Jul 12 15:07:47 +0000 2018,ConsumerFeed,RHI,Robert Half International Inc.,http://zpr.io/6aiGX,FALSE
1.02E+18,RT @Drugdoctor2014: $PNTV.042- Name the largest PUBLIC USA Marijuana Growing Company! Look at this HARVEST! $QVCA $NCLH $TSCO $LVNTA $ILMN…,Thu Jul 12 15:09:32 +0000 2018,OTCNetwork101,MDLZ,Mondelez International,,FALSE
1.02E+18,What Will Happen to Motorola Solutions Inc. $MSI Next? The Stock Just Reaches 52-Week High https://t.co/1NYqHolVpv,Thu Jul 12 15:09:39 +0000 2018,The_CasualSmart,MSI,Motorola Solutions,https://thecasualsmart.com/2018/07/12/what-will-happen-to-motorola-solutions-inc-msi-next-the-stock-just-reaches-52-week-high/,FALSE
1.02E+18,RT @Drugdoctor2014: $PNTV.042- Name the largest PUBLIC USA Marijuana Growing Company! Look at this HARVEST!  $CSCO $CTXS $CTSH $CSC $DVMT $…,Thu Jul 12 15:09:43 +0000 2018,OTCNetwork101,VIAB,Viacom,,FALSE
1.02E+18,RT @LuciusJameson: $ARRY will now go from 20 years w/o marketed product to multiple indications for their wholly-owned MEK-RAF combo &amp; mult…,Thu Jul 12 15:09:51 +0000 2018,ramcqueary,ARRY,Array BioPharma Inc.,,FALSE
